Question,Answer
"AWS Clean Rooms在中国区是否可用？","目前没有落地中国区的时间表，已经在以下区域推出：美国东部（弗吉尼亚州北部）、美国东部（俄亥俄州）、美国西部（俄勒冈州）、亚太地区（首尔）、亚太地区（新加坡）、亚太地区（悉尼）、亚太地区（东京）、欧洲地区（法兰克福）、欧洲地区（爱尔兰）、欧洲地区（伦敦）和欧洲地区（斯德哥尔摩）"
"AWS Clean Rooms中，为什么在合成的小数据集上第一次查询的时候需要几分钟才返回？","第一次查询的时候是因为调度和拉起资源的影响，一般第二次查询就会变快。 但过一段时间后，资源释放后这个问题又会出现。在资源拉起期间是不进行收费的。"
"AWS Clean Rooms能支持多大规模数据的查询？查询速度怎么样？","能支持TB/GB级数据的查询。 一般查询延迟为几十秒到几分钟。默认计算容量为32 CRPUs， 目前这个默认计算容量不可设置，但是roadmap中未来打算让用户可以进行设置。(Slack中Ryan 提到，如果引擎中任务有积压，它能够scale up）"
"AWS Clean Rooms 是如何计费的？","按照CRPU-hour单价进行计费，每个查询默认计算容量为32 CRPUs。 金额 = (0.125 hours x 32 CRPUs * $0.656 per CRPU-hour) ， 有1分钟的最小计费时间。头12个月内，会有9CRPU hours的免费额度。"
"AWS Clean Rooms 从哪里可以看到CRPU-hours的用量？","AWS Clean Rooms 本身的workspace中无法查看，可以在AWS Billing/Bills 中查看Usage Quantity得到该信息。"
"AWS Clean Rooms目前可以支持什么数据源的接入？ ","目前只支持S3，其他数据源近期没有具体计划。"
"AWS Clean Rooms一个协作中，最大的并发查询数是多少？","5个"
"我们如何说服客户相信AWS Clean Rooms的安全性和正确性？我在这里的大多数合规计划中都看不到AWS Clean Rooms， https://aws.amazon.com/compliance/services-in-scope/ ？","正在加入这些合规计划的进程中。"
"AWS Clean Rooms的数据源必须在AWS上么？","对，目前必须在AWS上，而且必须是同一个region。"
"AWS Clean Rooms的数据是如何进入到S3？","需要数据的持有者，把数据上传到S3上，然后再用Glue爬去下，拿到表的schema。这样才能关联到AWS CleanRooms。"
"AWS Clean Rooms的这些安全控制权限只是作用与分析么？能够改动它方的数据么？","对，只作用于分析，不能修改对方数据"
